Game Title,Console,Price
Star Wars: Jedi Arena,PS,31.23
Star Wars: Return of the Jedi: Death Star Battle,PS,39.16
Star Wars: The Arcade Game,PS,143.06
Star Wars: The Empire Strikes Back,PS,30.57
Stargate,PS,43.60
Stargunner,PS,205.90
Starmaster,PS,17.71
Steeplechase,PS,41.21
Stellar Track,PS,69.13
Strategy X,PS,72.88
Strawberry Shortcake: Musical Match-ups,PS,24.21
Street Racer,PS,17.28
Stronghold,PS,547.72
Stuntman,PS,123.83
Sub Scan,PS,42.45
Submarine Commander,PS,143.18
Subterranea,PS,520.96
Suicide Mission,PS,25.46
Summer Games,PS,15.84
Super Baseball,PS,15.00
Super Breakout [Atari],PS,18.57
Super Breakout [Sears],PS,28.62
Super Challenge Baseball [M Network],PS,11.38
Super Challenge Baseball [Telegames],PS,18.50
Super Challenge Football [M Network],PS,12.18
Super Challenge Football [Telegames],PS,0.00
Super Cobra,PS,55.86
Super Football,PS,11.37
Superman [Atari],PS,96.96
Superman [Sears],PS,362.97
Surround,PS,24.86
Survival Island,PS,0.00
Survival Run,PS,128.37
Sword of Saros,PS,0.00
Swordquest: Earthworld,PS,21.43
Swordquest: Fireworld,PS,26.64
Swordquest: Waterworld,PS,592.47
Tac-Scan,PS,30.83
Tank Brigade,PS,397.77
Tank-Plus,PS,27.22
Tanks But No Tanks,PS,145.11
Tapeworm,PS,27.40
Tapper,PS,227.69
Target Fun,PS,17.64
Task Force,PS,17.45
Tax Avoiders,PS,47.07
Taz,PS,36.96
Tennis,PS,19.07
Texas Chainsaw Massacre,PS,640.87
Threshold,PS,131.48
Thunderground,PS,50.67
Time Pilot,PS,72.01
Time Warp,PS,91.60
Title Match Pro Wrestling,PS,13.44
Tomarc The Barbarian,PS,226.40
Tomarc the Barbarian / Motocross Racer,PS,0.00
Tomcat: The F-14 Simulator,PS,0.00
Tooth Protectors,PS,0.00
Towering Inferno,PS,13.30
Track & Field,PS,311.74
Trick Shot,PS,24.07
Tron: Deadly Discs,PS,37.40
Tunnel Runner,PS,76.82
Turmoil [20th Century Fox],PS,27.64
