Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Price,2600,Gen,N64,NES,PS,SAT,SCD,SNES,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy,Price_bin_custom_range,Price_bin_custom_label
1992,1000000,300000,310000,40000,1660000,22,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1990,1860000,550000,110000,80000,2600000,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(40, 80]",4
1994,0,0,260000,0,260000,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"(20, 40]",3
2000,1130000,380000,20000,30000,1550000,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1998,490000,130000,0,10000,630000,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"(20, 40]",3
2001,80000,20000,0,0,100000,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"(40, 80]",4
1999,360000,30000,0,0,390000,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
2000,220000,10000,0,0,230000,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(20, 40]",3
1998,440000,40000,0,0,480000,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"(10, 20]",2
1999,210000,50000,0,0,260000,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(20, 40]",3
2000,190000,50000,0,0,240000,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
1999,680000,120000,0,10000,810000,29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"(20, 40]",3
2000,340000,70000,0,0,420000,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
1999,130000,30000,0,0,160000,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"(40, 80]",4
